Dataset,Pipeline,FD_mean,FD_std,DVARS_mean,DVARS_std,SNR_mean,SNR_std,CJV_mean,CJV_std,EFC_mean,EFC_std,WM2MAX_mean,WM2MAX_std
ds002748,fmriprep,0.08301935354281051,0.03686857791728248,1.2022534110549945,0.09096310701687438,78.49695793787639,9.245479834126208,0.620738795281683,0.1343294605938263,0.27483888888888885,0.013899433117993153,0.8181167667845918,0.015015903595369334
ds002748,deepprep,0.08242682758608652,0.036386341081069515,1.266854138888889,0.11395694633683962,77.13486925760905,9.30058977254094,0.5011998393061206,0.018102889715928234,0.2164388888888889,0.011833177939864442,0.8912207924758621,0.016698420160210312
ds002748,cpac-default,0.0850697365273003,0.04285130483543327,1.285878289719017,0.12734670522824698,77.10027751767706,41.41941211103345,0.5537025795903039,0.06870551009221443,0.2766625,0.014084797893123663,0.7761646788642749,0.034273793111978354
ds002748,cpac-llm,0.09189828705074062,0.04360043856106512,1.279597516153373,0.109935764614095,97.71802924143263,152.7803873707666,0.5485645425101385,0.0692985956754687,0.2766625,0.014084797893123663,0.7775583012414455,0.033558620690795335
KKI,fmriprep,0.18267783758794767,0.10767810595336852,1.1117312422215306,0.06572532573444272,53.659132399210115,10.699050317955155,0.4456952627670705,0.04005607235886568,0.3671256097560976,0.02047066441216453,0.7715966281823426,0.06436931874647096
KKI,deepprep,0.17930023090772595,0.10819651959489524,1.2045420572945946,0.16096789190652303,53.832191166124844,11.125032270958092,0.48271470640322595,0.03307762051126242,0.3069316455696202,0.016425117915541288,0.7279555609800304,0.0847381799715854
KKI,cpac-default,0.17977919006441784,0.08105410004575332,1.102523796870964,0.15162396931165012,56.34338646253701,12.732522318966469,0.4147490231016364,0.039964666854654406,0.3148294732942124,0.01452514958904353,0.7879146856703975,0.024010071047982928
KKI,cpac-llm,0.19388731533944606,0.08277368028807845,1.0414406844167736,0.11740897386478351,58.524141646803905,13.331130017414832,0.3993420530357849,0.04144791497303766,0.3046707549662799,0.017553745350786267,0.7931336483903134,0.024059341483679393
NeuroIMAGE,fmriprep,4.297349432412173,27.462186483996156,1.5637978550736493,3.2755021738902976,51.472381745247134,13.273395996563941,0.442647176502583,0.018892128644340644,0.45910425531914895,0.024836779857149868,0.8439251065855047,0.017811040522755218
NeuroIMAGE,deepprep,1.6946241678133689,9.841414858587335,1.0549597247916667,0.235176146438655,51.49565512562791,13.17282500471159,0.5149488351561691,0.021822659675757018,0.3473625,0.022612382457970502,0.8150360391984245,0.0181692209543173
NeuroIMAGE,cpac-default,1.6358888826558886,0.7798828322731837,1.3953883002264778,0.16130979457170647,57.328678451533314,12.202209736924042,0.44518576424382356,0.04319224698447255,0.3594113962633587,0.01638263422082743,0.819538586688718,0.02405418475475629
NeuroIMAGE,cpac-llm,1.1740904448447596,0.736739351643897,1.1423656107844293,0.14893236236074228,60.899689921529564,14.804191907486635,0.37763562521952027,0.04122916237645777,0.3425409581800274,0.018506208770467995,0.840722542230875,0.02634440545901551
OHSU,fmriprep,0.40007882271780876,0.7293895109718537,1.2537644883728567,0.09720553927117767,80.01931329675622,33.574453346906544,0.47929016707629957,0.08087419877274857,0.4936576576576578,0.04486403611225517,0.8505537170534322,0.029967233275971193
OHSU,deepprep,0.3381691868707222,0.542479939581494,1.0572540316216217,0.22765078922863857,82.42414926408648,32.190321251699686,0.5252024022420506,0.05891933513824696,0.2932441441441441,0.015619857319128834,0.8123671074323436,0.04441094705219582
OHSU,cpac-default,0.3190260390544458,0.17779139046029716,1.134170015072163,0.1402926880021162,84.8513499219879,18.781377297951657,0.44657115241424317,0.04215262724066049,0.30601281153569404,0.014936089848328202,0.8397625650430792,0.026531267552517432
OHSU,cpac-llm,0.2935583731048451,0.1571399506120547,1.0510932282010872,0.11742710511449125,84.31143728878699,24.617847642379846,0.41260381601362217,0.038271640542506244,0.2886764215131463,0.014957975558371554,0.8557337425868298,0.02316033103798511
