SubjectID,MeanFD,MeanStdDVARS,tSNR_mean,CJV,EFC,WM2MAX
sub-0023017,0.10385862013108664,1.1833343684210524,88.71587371826172,0.45393255142971667,0.4733,0.8461275212854249
sub-0023018,0.1660026993634982,1.282622894736842,92.00057220458984,0.43624616150438755,0.4391,0.8722972292879498
sub-0023019,0.124517161149699,1.3836858026315788,107.26103973388672,0.4391437811724312,0.4457,0.8714200787974786
sub-0023020,0.1710195160913266,1.2108287894736842,85.84657287597656,0.44234034500449243,0.4506,0.8689564341433286
sub-0023024,0.36443802358231003,1.148017697368421,54.36410140991211,0.44326174395112444,0.4335,0.8753032630951292
sub-0023025,0.22990648140580786,1.1782524342105263,73.65968322753906,0.47173344616269114,0.4284,0.8682765906379096
sub-0023026,0.10151712574157638,1.2923292499999999,111.75072479248047,0.4345762368358714,0.4384,0.8736033238466024
sub-0023027,0.26039365703798256,1.392949092105263,58.5284309387207,0.45090148664734625,0.4514,0.8632711896555301
sub-0023028,0.10744810332269901,1.1442652368421051,99.50360870361328,0.4311666868026188,0.4415,0.8723759327041295
sub-0023030,0.2160419432905225,1.4709841184210528,66.72901916503906,0.4444649651912201,0.4579,0.8617483948816963
sub-0023031,0.2624680833237136,1.3912032368421052,69.67902374267578,0.4601364958594136,0.4739,0.8496510284943004
sub-0023033,0.25178206054949853,1.2450215263157893,68.46355438232422,0.4474962530624718,0.4596,0.8590683946479497
sub-0023035,0.0947421835253046,1.3590388421052633,97.6740951538086,0.4324901596504222,0.4545,0.8683444626595213
sub-0023036,0.16064633613758963,1.2033321447368424,84.55165100097656,0.4470105497435765,0.4589,0.8775448869843426
sub-0023037,0.0961037005636228,1.339171342105263,113.17852020263672,0.4231469925331561,0.462,0.8721604091951983
sub-0023038,0.2110152902405847,1.2009563815789472,86.15359497070312,0.43221394802943697,0.446,0.8690273012007603
sub-0023039,0.07483756034422584,1.240816157894737,116.53279876708984,0.3904733457003286,0.4983,0.8716068012903121
sub-0023040,0.057681756128294,1.2827374473684208,122.69255828857422,0.4380711909913479,0.438,0.873849640824263
sub-0023041,0.060164305130676984,1.26032725,123.57288360595703,0.4127717407041695,0.4488,0.8649298784209621
sub-0023042,0.11871488438968789,1.2555084736842106,105.01334381103516,0.42768906545862834,0.4335,0.8710947355526022
sub-1084283,0.07759859964959857,1.280650220779221,109.52862548828125,0.4412316260689245,0.4925,0.8596026534080449
sub-1084884,0.04227186056442016,1.2485091688311687,119.14614868164062,0.4920440169442111,0.5095,0.8445356447584786
